_date,total_clones,unique_clones
2024-04-15,1,1
2024-04-21,1,1
2024-04-25,1,1
2024-04-28,1,1
2024-04-29,3,2
2024-05-05,1,1
2024-05-06,1,1
2024-05-12,1,1
2024-05-13,2,1
2024-05-19,1,1
2024-05-20,2,1
2024-05-25,1,1
2024-05-26,1,1
2024-05-27,2,1
2024-05-28,2,1
2024-06-02,2,2
2024-06-03,2,2
2024-06-09,2,2
2024-06-10,4,3
2024-06-13,1,1
2024-06-14,1,1
2024-06-16,1,1
2024-06-17,1,1
2024-06-22,1,1
2024-06-23,1,1
2024-06-24,1,1
2024-06-26,1,1
2024-06-30,1,1
2024-07-01,2,2
2024-07-07,1,1
2024-07-14,1,1
2024-07-15,2,1
2024-07-18,1,1
2024-07-21,1,1
2024-07-22,1,1
2024-07-28,1,1
2024-08-04,2,2
2024-08-05,2,2
2024-08-11,1,1
2024-08-12,3,3
2024-08-14,1,1
2024-08-15,3,3
2024-08-17,3,3
2024-08-18,1,1
2024-08-19,3,3
2024-08-20,1,1
2024-08-23,3,3
2024-08-25,1,1
2024-08-27,3,3
2024-08-29,4,4
2024-08-31,2,2
2024-09-01,1,1
2024-09-02,1,1
2024-09-06,1,1
2024-09-08,1,1
2024-09-09,3,3
2024-09-11,3,3
2024-09-12,1,1
2024-09-14,2,2
2024-09-15,3,3
2024-09-16,5,5
2024-09-18,2,2
2024-09-20,1,1
2024-09-22,3,3
2024-09-23,1,1
2024-09-24,1,1
2024-09-25,3,3
2024-09-26,3,3
